year,tract,Total_Pop,Black,White,Native_Hawaiian_or_Pacific_Islander,Asian,Native_American,Other,MedianRent,Moved in 2015 or later,Moved in 2017 or later,Built 2010 or later,SNAP benefits,Bachelor's degree,Median household income,Mean household income,Total_Housing_Units,Built_2014_or_Later,Built_2010_or_Later,Moved_In_2010_or_Later,Percent_Service_Occupations,Percent_Production_MaterialMoving_Transportation_Construction_Occupations,Percent_Management_Business_Science_Arts_Occupations,Percent_Sales_and_Office_Occupations,NAMELSAD
2018,"Census Tract 401, Erie County, Ohio",5612,21,5439,0,0,0,,919,,,,91831,2071,64444,91831,143,27,29,1098,,,,,Census Tract 401
2018,"Census Tract 402, Erie County, Ohio",3820,8,3783,0,38,0,,882,,,,90117,1217,64509,90117,9,29,0,453,,,,,Census Tract 402
2018,"Census Tract 403, Erie County, Ohio",6292,68,6199,0,0,62,,749,,,,94611,1479,72614,94611,18,14,31,498,,,,,Census Tract 403
2018,"Census Tract 404, Erie County, Ohio",5500,252,5378,0,30,18,,908,,,,97322,2272,61419,97322,66,69,32,846,,,,,Census Tract 404
2018,"Census Tract 405, Erie County, Ohio",4669,115,4614,0,0,0,,810,,,,76444,1731,61299,76444,42,0,0,757,,,,,Census Tract 405
2018,"Census Tract 406, Erie County, Ohio",901,3,896,0,15,12,,946,,,,122761,581,77321,122761,16,9,26,114,,,,,Census Tract 406
2018,"Census Tract 407, Erie County, Ohio",3895,1266,2682,0,0,51,,677,,,,58212,888,41223,58212,80,0,0,747,,,,,Census Tract 407
2018,"Census Tract 408, Erie County, Ohio",3994,1016,2811,0,35,52,,610,,,,36910,503,29536,36910,190,0,0,1103,,,,,Census Tract 408
2018,"Census Tract 409, Erie County, Ohio",3379,391,2954,0,0,15,,643,,,,62291,637,40287,62291,14,0,0,463,,,,,Census Tract 409
2018,"Census Tract 410, Erie County, Ohio",3315,1314,1983,0,0,1,,636,,,,35177,350,30935,35177,71,0,0,685,,,,,Census Tract 410
2018,"Census Tract 411, Erie County, Ohio",3610,1050,2723,0,0,47,,653,,,,43783,401,33750,43783,23,3,0,591,,,,,Census Tract 411
2018,"Census Tract 412, Erie County, Ohio",2630,867,1692,0,0,151,,813,,,,52767,361,43323,52767,43,0,0,488,,,,,Census Tract 412
2018,"Census Tract 413, Erie County, Ohio",3502,1105,2307,0,52,87,,629,,,,51836,610,38702,51836,45,0,15,849,,,,,Census Tract 413
2018,"Census Tract 414, Erie County, Ohio",2472,142,2304,12,56,42,,771,,,,79985,854,62955,79985,5,0,0,224,,,,,Census Tract 414
2018,"Census Tract 415, Erie County, Ohio",3639,110,3308,0,442,40,,858,,,,88014,1218,58750,88014,57,18,5,608,,,,,Census Tract 415
2018,"Census Tract 416, Erie County, Ohio",5502,311,5012,0,144,78,,796,,,,74753,1690,63727,74753,39,0,0,722,,,,,Census Tract 416
2018,"Census Tract 417, Erie County, Ohio",6421,113,6264,0,72,54,,818,,,,61972,1632,48173,61972,66,25,0,920,,,,,Census Tract 417
2018,"Census Tract 418, Erie County, Ohio",5983,93,5889,0,124,2,,770,,,,93123,1357,76393,93123,42,32,9,579,,,,,Census Tract 418
2018,"Census Tract 9901, Erie County, Ohio",0,0,0,0,0,0,,0,,,,0,0,0,0,0,0,0,0,,,,,Census Tract 9901
2017,"Census Tract 405, Erie County, Ohio",4961,122,4926,0,0,0,,815,180,,,68004,729,52500,68004,,0,0,759,,,,,Census Tract 405
2017,"Census Tract 412, Erie County, Ohio",2345,830,1448,0,0,146,,790,220,,,49855,157,41378,49855,,0,0,455,,,,,Census Tract 412
2017,"Census Tract 9901, Erie County, Ohio",0,0,0,0,0,0,,0,0,,,0,0,0,0,,0,0,0,,,,,Census Tract 9901
2017,"Census Tract 417, Erie County, Ohio",6476,98,6317,0,68,51,,755,126,,,63679,545,54583,63679,,28,10,764,,,,,Census Tract 417
2017,"Census Tract 401, Erie County, Ohio",5585,46,5433,0,0,0,,869,232,,,80808,596,58973,80808,,14,55,1005,,,,,Census Tract 401
2017,"Census Tract 403, Erie County, Ohio",6390,96,6279,14,0,137,,786,189,,,89761,523,69043,89761,,13,27,587,,,,,Census Tract 403
2017,"Census Tract 406, Erie County, Ohio",950,5,947,0,8,9,,854,31,,,128752,212,82361,128752,,0,27,77,,,,,Census Tract 406
2017,"Census Tract 407, Erie County, Ohio",4017,1205,2901,0,0,27,,670,105,,,59453,356,37296,59453,,0,0,752,,,,,Census Tract 407
2017,"Census Tract 409, Erie County, Ohio",3392,325,3066,0,0,0,,644,128,,,50391,244,38983,50391,,0,11,534,,,,,Census Tract 409
2017,"Census Tract 411, Erie County, Ohio",3775,959,2958,0,0,0,,635,173,,,41835,216,30863,41835,,2,0,618,,,,,Census Tract 411
2017,"Census Tract 416, Erie County, Ohio",5544,182,5213,0,136,99,,802,143,,,79348,785,73917,79348,,0,0,656,,,,,Census Tract 416
2017,"Census Tract 414, Erie County, Ohio",2570,292,2300,0,48,49,,782,45,,,70427,289,53598,70427,,0,0,230,,,,,Census Tract 414
2017,"Census Tract 402, Erie County, Ohio",3868,27,3840,0,41,0,,819,56,,,79546,362,58841,79546,,0,0,372,,,,,Census Tract 402
2017,"Census Tract 410, Erie County, Ohio",3257,1244,2029,0,0,1,,612,99,,,35674,213,32261,35674,,0,0,594,,,,,Census Tract 410
2017,"Census Tract 415, Erie County, Ohio",3470,73,3161,0,448,54,,828,167,,,84721,562,56274,84721,,6,0,510,,,,,Census Tract 415
2017,"Census Tract 404, Erie County, Ohio",5237,239,5137,0,31,25,,847,276,,,98794,784,61894,98794,,57,47,651,,,,,Census Tract 404
2017,"Census Tract 408, Erie County, Ohio",4114,1385,2815,0,37,39,,574,369,,,36975,289,28980,36975,,0,0,989,,,,,Census Tract 408
2017,"Census Tract 413, Erie County, Ohio",3489,969,2531,0,54,11,,531,173,,,46023,300,35477,46023,,0,16,744,,,,,Census Tract 413
2017,"Census Tract 418, Erie County, Ohio",5929,86,5848,0,162,2,,764,96,,,91125,445,75811,91125,,13,35,517,,,,,Census Tract 418
2016,"Census Tract 401, Erie County, Ohio",5857,84,11540,41,41,0,92,862,111,,,73843,312,51736,73843,21.9,15,35,1005,21.9,14.7,31.9,20.4,Census Tract 401
2016,"Census Tract 402, Erie County, Ohio",3646,54,7230,0,80,56,46,908,17,,,74708,304,56071,74708,16.7,0,0,315,16.7,21.5,29.4,20.6,Census Tract 402
2016,"Census Tract 403, Erie County, Ohio",6292,204,12299,21,48,327,51,751,31,,,86475,470,66719,86475,15.1,11,16,445,15.1,13.9,36.6,20.1,Census Tract 403
2016,"Census Tract 404, Erie County, Ohio",5381,54,10642,0,118,30,0,675,83,,,100300,776,70956,100300,17.4,37,34,397,17.4,6.3,47.9,19.8,Census Tract 404
