"","year","tract","Black","MedianRent","Moved in 2015 or later","Moved in 2017 or later","Built 2010 or later","SNAP benefits","Bachelor's degree","Median household income","Mean household income","NAMELSAD"
"1",2018,"Census Tract 401, Erie County, Ohio",21,919,NA,NA,NA,91831,2071,64444,91831,"Census Tract 401"
"2",2018,"Census Tract 402, Erie County, Ohio",0,882,NA,NA,NA,90117,1217,64509,90117,"Census Tract 402"
"3",2018,"Census Tract 403, Erie County, Ohio",37,749,NA,NA,NA,94611,1479,72614,94611,"Census Tract 403"
"4",2018,"Census Tract 404, Erie County, Ohio",85,908,NA,NA,NA,97322,2272,61419,97322,"Census Tract 404"
"5",2018,"Census Tract 405, Erie County, Ohio",5,810,NA,NA,NA,76444,1731,61299,76444,"Census Tract 405"
"6",2018,"Census Tract 406, Erie County, Ohio",0,946,NA,NA,NA,122761,581,77321,122761,"Census Tract 406"
"7",2018,"Census Tract 407, Erie County, Ohio",1106,677,NA,NA,NA,58212,888,41223,58212,"Census Tract 407"
"8",2018,"Census Tract 408, Erie County, Ohio",886,610,NA,NA,NA,36910,503,29536,36910,"Census Tract 408"
"9",2018,"Census Tract 409, Erie County, Ohio",311,643,NA,NA,NA,62291,637,40287,62291,"Census Tract 409"
"10",2018,"Census Tract 410, Erie County, Ohio",1185,636,NA,NA,NA,35177,350,30935,35177,"Census Tract 410"
"11",2018,"Census Tract 411, Erie County, Ohio",802,653,NA,NA,NA,43783,401,33750,43783,"Census Tract 411"
"12",2018,"Census Tract 412, Erie County, Ohio",754,813,NA,NA,NA,52767,361,43323,52767,"Census Tract 412"
"13",2018,"Census Tract 413, Erie County, Ohio",997,629,NA,NA,NA,51836,610,38702,51836,"Census Tract 413"
"14",2018,"Census Tract 414, Erie County, Ohio",119,771,NA,NA,NA,79985,854,62955,79985,"Census Tract 414"
"15",2018,"Census Tract 415, Erie County, Ohio",55,858,NA,NA,NA,88014,1218,58750,88014,"Census Tract 415"
"16",2018,"Census Tract 416, Erie County, Ohio",311,796,NA,NA,NA,74753,1690,63727,74753,"Census Tract 416"
"17",2018,"Census Tract 417, Erie County, Ohio",70,818,NA,NA,NA,61972,1632,48173,61972,"Census Tract 417"
"18",2018,"Census Tract 418, Erie County, Ohio",21,770,NA,NA,NA,93123,1357,76393,93123,"Census Tract 418"
"19",2018,"Census Tract 9901, Erie County, Ohio",0,0,NA,NA,NA,0,0,0,0,"Census Tract 9901"
"20",2017,"Census Tract 405, Erie County, Ohio",5,815,180,NA,NA,68004,729,52500,68004,"Census Tract 405"
"21",2017,"Census Tract 412, Erie County, Ohio",661,790,220,NA,NA,49855,157,41378,49855,"Census Tract 412"
"22",2017,"Census Tract 9901, Erie County, Ohio",0,0,0,NA,NA,0,0,0,0,"Census Tract 9901"
"23",2017,"Census Tract 417, Erie County, Ohio",68,755,126,NA,NA,63679,545,54583,63679,"Census Tract 417"
"24",2017,"Census Tract 401, Erie County, Ohio",25,869,232,NA,NA,80808,596,58973,80808,"Census Tract 401"
"25",2017,"Census Tract 403, Erie County, Ohio",33,786,189,NA,NA,89761,523,69043,89761,"Census Tract 403"
"26",2017,"Census Tract 406, Erie County, Ohio",0,854,31,NA,NA,128752,212,82361,128752,"Census Tract 406"
"27",2017,"Census Tract 407, Erie County, Ohio",974,670,105,NA,NA,59453,356,37296,59453,"Census Tract 407"
"28",2017,"Census Tract 409, Erie County, Ohio",256,644,128,NA,NA,50391,244,38983,50391,"Census Tract 409"
"29",2017,"Census Tract 411, Erie County, Ohio",754,635,173,NA,NA,41835,216,30863,41835,"Census Tract 411"
"30",2017,"Census Tract 416, Erie County, Ohio",166,802,143,NA,NA,79348,785,73917,79348,"Census Tract 416"
"31",2017,"Census Tract 414, Erie County, Ohio",236,782,45,NA,NA,70427,289,53598,70427,"Census Tract 414"
"32",2017,"Census Tract 402, Erie County, Ohio",0,819,56,NA,NA,79546,362,58841,79546,"Census Tract 402"
"33",2017,"Census Tract 410, Erie County, Ohio",1096,612,99,NA,NA,35674,213,32261,35674,"Census Tract 410"
"34",2017,"Census Tract 415, Erie County, Ohio",27,828,167,NA,NA,84721,562,56274,84721,"Census Tract 415"
"35",2017,"Census Tract 404, Erie County, Ohio",75,847,276,NA,NA,98794,784,61894,98794,"Census Tract 404"
"36",2017,"Census Tract 408, Erie County, Ohio",1158,574,369,NA,NA,36975,289,28980,36975,"Census Tract 408"
"37",2017,"Census Tract 413, Erie County, Ohio",844,531,173,NA,NA,46023,300,35477,46023,"Census Tract 413"
"38",2017,"Census Tract 418, Erie County, Ohio",11,764,96,NA,NA,91125,445,75811,91125,"Census Tract 418"
"39",2016,"Census Tract 401, Erie County, Ohio",42,862,111,NA,NA,73843,312,51736,73843,"Census Tract 401"
"40",2016,"Census Tract 402, Erie County, Ohio",27,908,17,NA,NA,74708,304,56071,74708,"Census Tract 402"
"41",2016,"Census Tract 403, Erie County, Ohio",151,751,31,NA,NA,86475,470,66719,86475,"Census Tract 403"
"42",2016,"Census Tract 404, Erie County, Ohio",54,675,83,NA,NA,100300,776,70956,100300,"Census Tract 404"
"43",2016,"Census Tract 405, Erie County, Ohio",296,786,109,NA,NA,65628,764,49879,65628,"Census Tract 405"
"44",2016,"Census Tract 406, Erie County, Ohio",0,871,8,NA,NA,123733,205,74688,123733,"Census Tract 406"
"45",2016,"Census Tract 407, Erie County, Ohio",1844,643,35,NA,NA,53303,297,34153,53303,"Census Tract 407"
"46",2016,"Census Tract 408, Erie County, Ohio",1943,590,144,NA,NA,35727,346,29032,35727,"Census Tract 408"
"47",2016,"Census Tract 409, Erie County, Ohio",510,673,73,NA,NA,45248,263,37711,45248,"Census Tract 409"
"48",2016,"Census Tract 410, Erie County, Ohio",2417,571,73,NA,NA,37667,245,32606,37667,"Census Tract 410"
"49",2016,"Census Tract 411, Erie County, Ohio",1916,595,49,NA,NA,38842,164,28535,38842,"Census Tract 411"
"50",2016,"Census Tract 412, Erie County, Ohio",1397,722,116,NA,NA,43424,154,34881,43424,"Census Tract 412"
"51",2016,"Census Tract 413, Erie County, Ohio",2141,595,84,NA,NA,46176,354,37614,46176,"Census Tract 413"
"52",2016,"Census Tract 414, Erie County, Ohio",493,811,8,NA,NA,69761,270,53371,69761,"Census Tract 414"
"53",2016,"Census Tract 415, Erie County, Ohio",149,819,92,NA,NA,80709,588,51736,80709,"Census Tract 415"
"54",2016,"Census Tract 416, Erie County, Ohio",371,914,91,NA,NA,78816,835,73644,78816,"Census Tract 416"
"55",2016,"Census Tract 417, Erie County, Ohio",216,712,36,NA,NA,62146,464,51788,62146,"Census Tract 417"
"56",2016,"Census Tract 418, Erie County, Ohio",168,829,45,NA,NA,82838,425,76045,82838,"Census Tract 418"
"57",2016,"Census Tract 9901, Erie County, Ohio",0,0,0,NA,NA,0,0,0,0,"Census Tract 9901"
"58",2015,"Census Tract 401, Erie County, Ohio",123,850,0,NA,NA,67435,269,51825,67435,"Census Tract 401"
"59",2015,"Census Tract 402, Erie County, Ohio",20,959,0,NA,NA,70832,311,54883,70832,"Census Tract 402"
"60",2015,"Census Tract 403, Erie County, Ohio",164,771,3,NA,NA,73177,509,60724,73177,"Census Tract 403"
"61",2015,"Census Tract 404, Erie County, Ohio",52,896,14,NA,NA,84854,870,61679,84854,"Census Tract 404"
"62",2015,"Census Tract 405, Erie County, Ohio",335,785,0,NA,NA,57726,779,44962,57726,"Census Tract 405"
"63",2015,"Census Tract 406, Erie County, Ohio",0,856,0,NA,NA,126628,203,80156,126628,"Census Tract 406"
"64",2015,"Census Tract 407, Erie County, Ohio",1787,617,30,NA,NA,64691,275,38102,64691,"Census Tract 407"
"65",2015,"Census Tract 408, Erie County, Ohio",1805,597,110,NA,NA,33971,324,26020,33971,"Census Tract 408"
"66",2015,"Census Tract 409, Erie County, Ohio",817,693,0,NA,NA,45983,253,35743,45983,"Census Tract 409"
"67",2015,"Census Tract 410, Erie County, Ohio",2186,570,45,NA,NA,36533,238,31681,36533,"Census Tract 410"
"68",2015,"Census Tract 411, Erie County, Ohio",1836,626,25,NA,NA,43357,225,32658,43357,"Census Tract 411"
"69",2015,"Census Tract 412, Erie County, Ohio",1732,676,35,NA,NA,42039,93,30000,42039,"Census Tract 412"
"70",2015,"Census Tract 413, Erie County, Ohio",2348,548,33,NA,NA,50377,306,38594,50377,"Census Tract 413"
"71",2015,"Census Tract 414, Erie County, Ohio",489,712,0,NA,NA,70216,280,54682,70216,"Census Tract 414"
"72",2015,"Census Tract 415, Erie County, Ohio",155,813,19,NA,NA,76427,587,50735,76427,"Census Tract 415"
"73",2015,"Census Tract 416, Erie County, Ohio",366,836,16,NA,NA,76701,843,70085,76701,"Census Tract 416"
"74",2015,"Census Tract 417, Erie County, Ohio",133,741,16,NA,NA,60587,465,50759,60587,"Census Tract 417"
"75",2015,"Census Tract 418, Erie County, Ohio",116,909,14,NA,NA,83750,403,73850,83750,"Census Tract 418"
"76",2015,"Census Tract 9901, Erie County, Ohio",0,0,0,NA,NA,0,0,0,0,"Census Tract 9901"
"77",2014,"Census Tract 401, Erie County, Ohio",133,857,NA,NA,NA,64018,372,51934,64018,"Census Tract 401"
"78",2014,"Census Tract 402, Erie County, Ohio",14,975,NA,NA,NA,64412,249,50237,64412,"Census Tract 402"
"79",2014,"Census Tract 403, Erie County, Ohio",102,823,NA,NA,NA,71584,567,61016,71584,"Census Tract 403"
"80",2014,"Census Tract 404, Erie County, Ohio",54,836,NA,NA,NA,84223,985,62091,84223,"Census Tract 404"
"81",2014,"Census Tract 405, Erie County, Ohio",325,775,NA,NA,NA,58391,771,51838,58391,"Census Tract 405"
"82",2014,"Census Tract 406, Erie County, Ohio",20,675,NA,NA,NA,141891,228,107500,141891,"Census Tract 406"
"83",2014,"Census Tract 407, Erie County, Ohio",1813,643,NA,NA,NA,52049,230,32620,52049,"Census Tract 407"
"84",2014,"Census Tract 408, Erie County, Ohio",1985,555,NA,NA,NA,34043,327,24932,34043,"Census Tract 408"
"85",2014,"Census Tract 409, Erie County, Ohio",730,621,NA,NA,NA,45929,221,38750,45929,"Census Tract 409"
